rowid,studyid,site,year,phenodiff,genus,species,genus2,species2,fitnesscomp,fitnessunit,gender,fitnessvalue,fitnesstype
252,HMK031,NA,1982,-131.3228,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,29.8266,demographic
253,HMK031,NA,1983,-153.9825,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,6.47399,demographic
254,HMK031,NA,1984,NA,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,8.3237,demographic
255,HMK031,NA,1985,-146.7865,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,18.4971,demographic
256,HMK031,NA,1986,-194.194,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,22.8902,demographic
257,HMK031,NA,1987,-153.167,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,16.4162,demographic
258,HMK031,NA,1988,-220.5567,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,19.1908,demographic
259,HMK031,NA,1989,-194.4222,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,27.2832,demographic
260,HMK031,NA,1990,NA,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,36.0694,demographic
261,HMK031,NA,1991,-178.2459,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,10.4046,demographic
262,HMK031,NA,1992,-204.0808,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,23.1214,demographic
263,HMK031,NA,1993,-161.2709,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,33.526,demographic
264,HMK031,NA,1994,-137.1048,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,57.8035,demographic
265,HMK031,NA,1995,-248.95927,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,31.6763,demographic
266,HMK031,NA,1996,NA,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,7.63006,demographic
267,HMK031,NA,1997,-169.0465,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,40.2312,demographic
268,HMK031,NA,1998,-188.7676,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,19.1908,demographic
269,HMK031,NA,1999,-169.1347,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,19.422,demographic
270,HMK031,NA,2000,-187.2283,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,32.1387,demographic
271,HMK031,NA,2001,-123.6956,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,2.54335,demographic
272,HMK031,NA,2002,-228.844,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,29.3642,demographic
273,HMK031,NA,2003,-150.115,Mesocyclops,leukarti,NA,NA,density,individuals L-1,NA,54.7977,demographic
274,HMK031,NA,1980,-52.7002,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,9.2155,demographic
275,HMK031,NA,1981,-15.0451,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,4.23967,demographic
276,HMK031,NA,1982,NA,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,4.24817,demographic
277,HMK031,NA,1983,-67.9994,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,4.14769,demographic
278,HMK031,NA,1984,-75.0449,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,9.03275,demographic
279,HMK031,NA,1985,-87.9844,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,2.06003,demographic
280,HMK031,NA,1986,-36.1368,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,1.07373,demographic
281,HMK031,NA,1987,-48.2608,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,4.07513,demographic
282,HMK031,NA,1988,NA,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,4.08424,demographic
283,HMK031,NA,1989,18.18278,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,9.4113,demographic
284,HMK031,NA,1990,NA,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,14.0729,demographic
285,HMK031,NA,1991,-43.1823,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,7.98907,demographic
286,HMK031,NA,1992,-32.5136,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,3.34262,demographic
287,HMK031,NA,1993,-47.4327,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,8.11748,demographic
288,HMK031,NA,1994,9.5809,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,25.3011,demographic
289,HMK031,NA,1995,-123.93857,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,16.3364,demographic
290,HMK031,NA,1996,5.9577,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,1.27621,demographic
291,HMK031,NA,1997,-121.1994,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,1.06432,demographic
292,HMK031,NA,1998,1.8088,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,2.18207,demographic
293,HMK031,NA,1999,NA,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,16.2626,demographic
294,HMK031,NA,2000,-60.8531,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,3.1963,demographic
295,HMK031,NA,2001,6.6843,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,3.20723,demographic
296,HMK031,NA,2002,-120.953,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,8.09107,demographic
297,HMK031,NA,2003,-48.4512,Acanthocyclops,robustus,NA,NA,density,individuals L-1,NA,18.2935,demographic
298,HMK032,NA,1956,-0.2254,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,12.5,demographic
299,HMK032,NA,1957,NA,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,11.5466,demographic
300,HMK032,NA,1958,-14.1505,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,13.7712,demographic
301,HMK032,NA,1959,0.02205,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,12.8178,demographic
302,HMK032,NA,1960,NA,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,7.83898,demographic
303,HMK032,NA,1961,10.276,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,7.20339,demographic
304,HMK032,NA,1962,0.1176,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,17.161,demographic
305,HMK032,NA,1963,NA,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,15.2542,demographic
306,HMK032,NA,1964,20.9013,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,14.8305,demographic
307,HMK032,NA,1965,-7.0007,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,8.15678,demographic
308,HMK032,NA,1966,-0.322,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,18.5381,demographic
309,HMK032,NA,1967,-24.79785,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,8.8983,demographic
310,HMK032,NA,1968,NA,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,6.5678,demographic
311,HMK032,NA,1969,-7.2233,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,8.47458,demographic
312,HMK032,NA,1970,-14.1477,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,6.99153,demographic
313,HMK032,NA,1971,-7.35035,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,15.4661,demographic
314,HMK032,NA,1972,NA,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,14.1949,demographic
315,HMK032,NA,1973,-6.7277,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,17.4788,demographic
316,HMK032,NA,1974,13.6269,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,11.6525,demographic
317,HMK032,NA,1975,-14.4242,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,16.1017,demographic
318,HMK032,NA,1976,NA,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,13.6653,demographic
319,HMK032,NA,1977,21.1239,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,15.3602,demographic
320,HMK032,NA,1978,-35.20265,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,10.1695,demographic
321,HMK032,NA,1979,NA,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,11.2288,demographic
322,HMK032,NA,1980,-18.0215,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,13.0297,demographic
323,HMK032,NA,1981,NA,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,16.6314,demographic
324,HMK032,NA,1982,-31.8738,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,7.09746,demographic
325,HMK032,NA,1983,NA,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,12.0763,demographic
326,HMK032,NA,1984,-14.4221,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,10.4873,demographic
327,HMK032,NA,1985,-7.4963,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,12.9237,demographic
328,HMK032,NA,1986,20.9013,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,16.1017,demographic
329,HMK032,NA,1987,7.0483,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,10.6992,demographic
330,HMK032,NA,1988,-7.3213,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,10.1695,demographic
331,HMK032,NA,1989,7.0238,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,11.2288,demographic
332,HMK032,NA,1990,-17.65015,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,10.6992,demographic
333,HMK032,NA,1991,NA,Daphnia,hyalina-galeata,NA,NA,density,nos L-1,NA,15.3602,demographic
334,HMK034,NA,1971,NA,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.86827,demographic
335,HMK034,NA,1972,NA,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.42085,demographic
336,HMK034,NA,1973,NA,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.59984,demographic
337,HMK034,NA,1974,-9.8275,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.58399,demographic
338,HMK034,NA,1975,-41.379,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.14307,demographic
339,HMK034,NA,1976,NA,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.60184,demographic
340,HMK034,NA,1977,-24.8275,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.48828,demographic
341,HMK034,NA,1978,-30,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.71964,demographic
342,HMK034,NA,1979,NA,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.05543,demographic
343,HMK034,NA,1980,-27.931,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.44203,demographic
344,HMK034,NA,1981,-32.0686,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.60506,demographic
345,HMK034,NA,1982,NA,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.55638,demographic
346,HMK034,NA,1983,-31.034,Cyclops,vicinus,NA,NA,abundance,m-2,female,4.9256,demographic
347,HMK034,NA,1984,-55.863,Cyclops,vicinus,NA,NA,abundance,m-2,female,4.7975,demographic
348,HMK034,NA,1985,NA,Cyclops,vicinus,NA,NA,abundance,m-2,female,4.79807,demographic
349,HMK034,NA,1986,-20.689,Cyclops,vicinus,NA,NA,abundance,m-2,female,4.91296,demographic
350,HMK034,NA,1988,-32.0686,Cyclops,vicinus,NA,NA,abundance,m-2,female,4.85648,demographic
351,HMK034,NA,1989,NA,Cyclops,vicinus,NA,NA,abundance,m-2,female,4.91472,demographic
352,HMK034,NA,1990,NA,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.29037,demographic
353,HMK034,NA,1991,-20.69,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.465,demographic
354,HMK034,NA,1992,-30,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.03352,demographic
355,HMK034,NA,1993,-28.9655,Cyclops,vicinus,NA,NA,abundance,m-2,female,5.29221,demographic
356,HMK034,NA,1994,-41.379,Cyclops,vicinus,NA,NA,abundance,m-2,female,4.2951,demographic
357,HMK035,GSO offshore,1951,NA,Acartia,hudsonica,NA,NA,abundance,number/m3,NA,11298.2,demographic
358,HMK035,GSO offshore,1951,NA,Acartia,tonsa,NA,NA,abundance,number/m3,NA,12690.1,demographic
359,HMK035,Fox,1973,NA,Acartia,hudsonica,NA,NA,abundance,number/m3,NA,13076.1,demographic
360,HMK035,Fox,1973,NA,Acartia,tonsa,NA,NA,abundance,number/m3,NA,15039.9,demographic
361,HMK035,Fox,1973,NA,Mnemiopsis2,leidyi,NA,NA,abundance,number/m3,NA,99.2393,demographic
362,HMK035,station1,1976,NA,Acartia,hudsonica,NA,NA,abundance,number/m3,NA,39467,demographic
363,HMK035,station1,1976,NA,Acartia,tonsa,NA,NA,abundance,number/m3,NA,32504.8,demographic
364,HMK035,station1,1976,NA,Mnemiopsis2,leidyi,NA,NA,volume,mls/m3,NA,50.4291,demographic
365,HMK035,GSO dock,2000,NA,Acartia,hudsonica,NA,NA,abundance,number/m3,NA,21921.3,demographic
366,HMK035,GSO dock,2000,NA,Acartia,tonsa,NA,NA,abundance,number/m3,NA,11289.2,demographic
367,HMK035,GSO dock,2000,NA,Mnemiopsis2,leidyi,NA,NA,abundance,number/m3,NA,126.845,demographic
368,HMK035,GSO dock,2001,NA,Acartia,hudsonica,NA,NA,abundance,number/m3,NA,9260.8,demographic
369,HMK035,GSO dock,2001,NA,Acartia,tonsa,NA,NA,abundance,number/m3,NA,4887.26,demographic
370,HMK035,GSO dock,2001,NA,Mnemiopsis2,leidyi,NA,NA,abundance,number/m3,NA,89.4977,demographic
371,HMK035,GSO offshore,2002,NA,Acartia,hudsonica,NA,NA,abundance,number/m3,NA,32780.5,demographic
372,HMK035,GSO offshore,2002,NA,Acartia,tonsa,NA,NA,abundance,number/m3,NA,13073.2,demographic
373,HMK035,GSO offshore,2002,NA,Mnemiopsis2,leidyi,NA,NA,abundance,number/m3,NA,92.2705,demographic
374,HMK035,Fox,2002,NA,Acartia,hudsonica,NA,NA,abundance,number/m3,NA,31111.1,demographic
375,HMK035,Fox,2002,NA,Acartia,tonsa,NA,NA,abundance,number/m3,NA,6763.29,demographic
376,HMK035,Fox,2002,NA,Mnemiopsis2,leidyi,NA,NA,abundance,number/m3,NA,129.073,demographic
377,HMK035,GSO offshore,2003,NA,Acartia,hudsonica,NA,NA,abundance,number/m3,NA,54328.9,demographic
378,HMK035,GSO offshore,2003,NA,Acartia,tonsa,NA,NA,abundance,number/m3,NA,5206.4,demographic
379,HMK035,GSO offshore,2003,NA,Mnemiopsis2,leidyi,NA,NA,abundance,number/m3,NA,47.7487,demographic
380,HMK035,Fox,2003,NA,Acartia,hudsonica,NA,NA,abundance,number/m3,NA,26124.4,demographic
381,HMK035,Fox,2003,NA,Acartia,tonsa,NA,NA,abundance,number/m3,NA,4593.3,demographic
382,HMK035,Fox,2003,NA,Mnemiopsis2,leidyi,NA,NA,abundance,number/m3,NA,125.049,demographic
383,HMK035,Fox,2004,NA,Acartia,hudsonica,NA,NA,abundance,number/m3,NA,63137.3,demographic
384,HMK035,Fox,2004,NA,Acartia,tonsa,NA,NA,abundance,number/m3,NA,7549.02,demographic
385,HMK035,Fox,2004,NA,Mnemiopsis2,leidyi,NA,NA,abundance,number/m3,NA,40.4412,demographic
386,HMK036,NA,1975,-81.6867,Copepod1,spp.,NA,NA,density,number/m3,NA,223.817,demographic
387,HMK036,NA,1976,-51.8465,Copepod1,spp.,NA,NA,density,number/m3,NA,231.011,demographic
388,HMK036,NA,1977,-71.5323,Copepod1,spp.,NA,NA,density,number/m3,NA,157.16,demographic
389,HMK036,NA,1978,-58.6977,Copepod1,spp.,NA,NA,density,number/m3,NA,684.646,demographic
390,HMK036,NA,1979,-71.6639,Copepod1,spp.,NA,NA,density,number/m3,NA,293.175,demographic
391,HMK036,NA,1980,-22.5357,Copepod1,spp.,NA,NA,density,number/m3,NA,861.242,demographic
392,HMK036,NA,1981,-84.7751,Copepod1,spp.,NA,NA,density,number/m3,NA,929.21,demographic
393,HMK036,NA,1982,-15.6841,Copepod1,spp.,NA,NA,density,number/m3,NA,686.434,demographic
394,HMK036,NA,1983,-43.2271,Copepod1,spp.,NA,NA,density,number/m3,NA,794.984,demographic
395,HMK036,NA,1985,-48.1996,Copepod1,spp.,NA,NA,density,number/m3,NA,1309.43,demographic
396,HMK036,NA,1984,-60.2088,Copepod1,spp.,NA,NA,density,number/m3,NA,1869.87,demographic
397,HMK036,NA,1986,-97.7147,Copepod1,spp.,NA,NA,density,number/m3,NA,890.973,demographic
398,HMK036,NA,1987,-65.895,Copepod1,spp.,NA,NA,density,number/m3,NA,344.092,demographic
399,HMK036,NA,1988,-50.6415,Copepod1,spp.,NA,NA,density,number/m3,NA,1135.14,demographic
400,HMK036,NA,1989,-71.2406,Copepod1,spp.,NA,NA,density,number/m3,NA,763.902,demographic
401,HMK036,NA,1990,-35.3777,Copepod1,spp.,NA,NA,density,number/m3,NA,1730.67,demographic
402,HMK036,NA,1991,-42.3391,Copepod1,spp.,NA,NA,density,number/m3,NA,589.133,demographic
403,HMK036,NA,1992,-32.8742,Copepod1,spp.,NA,NA,density,number/m3,NA,542.271,demographic
404,HMK036,NA,1993,-40.4222,Copepod1,spp.,NA,NA,density,number/m3,NA,745.419,demographic
405,HMK036,NA,1994,-56.5372,Copepod1,spp.,NA,NA,density,number/m3,NA,387.814,demographic
406,HMK036,NA,1995,-53.5313,Copepod1,spp.,NA,NA,density,number/m3,NA,550.419,demographic
407,HMK036,NA,1996,-48.4537,Copepod1,spp.,NA,NA,density,number/m3,NA,807.624,demographic
408,HMK036,NA,1997,-25.1561,Copepod1,spp.,NA,NA,density,number/m3,NA,1227,demographic
409,HMK036,NA,1998,-55.0886,Copepod1,spp.,NA,NA,density,number/m3,NA,457.133,demographic
410,HMK036,NA,1999,-42.9683,Copepod1,spp.,NA,NA,density,number/m3,NA,579.236,demographic
411,HMK036,NA,2000,-46.8337,Copepod1,spp.,NA,NA,density,number/m3,NA,559.362,demographic
412,HMK036,NA,2002,-35.918,Copepod1,spp.,NA,NA,density,number/m3,NA,972.495,demographic
413,HMK036,NA,2001,-51.4079,Copepod1,spp.,NA,NA,density,number/m3,NA,343.615,demographic
414,HMK036,NA,2003,-43.4239,Copepod1,spp.,NA,NA,density,number/m3,NA,540.483,demographic
415,HMK036,NA,2004,-43.9713,Copepod1,spp.,NA,NA,density,number/m3,NA,723.399,demographic
416,HMK036,NA,2005,NA,Copepod1,spp.,NA,NA,density,number/m3,NA,473.787,demographic
417,HMK036,NA,1975,-81.6867,Diatom3,spp.,NA,NA,density,cellsL-1,NA,28590.2,demographic
418,HMK036,NA,1976,-51.8465,Diatom3,spp.,NA,NA,density,cellsL-1,NA,65377.1,demographic
419,HMK036,NA,1977,-71.5323,Diatom3,spp.,NA,NA,density,cellsL-1,NA,46442.6,demographic
420,HMK036,NA,1978,-58.6977,Diatom3,spp.,NA,NA,density,cellsL-1,NA,31565.6,demographic
421,HMK036,NA,1979,-71.6639,Diatom3,spp.,NA,NA,density,cellsL-1,NA,62131.1,demographic
422,HMK036,NA,1980,-22.5357,Diatom3,spp.,NA,NA,density,cellsL-1,NA,71057.4,demographic
423,HMK036,NA,1981,-84.7751,Diatom3,spp.,NA,NA,density,cellsL-1,NA,17500,demographic
424,HMK036,NA,1982,-15.6841,Diatom3,spp.,NA,NA,density,cellsL-1,NA,31295.1,demographic
425,HMK036,NA,1983,-43.2271,Diatom3,spp.,NA,NA,density,cellsL-1,NA,57532.8,demographic
426,HMK036,NA,1984,-60.2088,Diatom3,spp.,NA,NA,density,cellsL-1,NA,22909.8,demographic
427,HMK036,NA,1985,-48.1996,Diatom3,spp.,NA,NA,density,cellsL-1,NA,75655.7,demographic
428,HMK036,NA,1986,-97.7147,Diatom3,spp.,NA,NA,density,cellsL-1,NA,39680.3,demographic
429,HMK036,NA,1987,-65.895,Diatom3,spp.,NA,NA,density,cellsL-1,NA,52663.9,demographic
430,HMK036,NA,1988,-50.6415,Diatom3,spp.,NA,NA,density,cellsL-1,NA,49959,demographic
431,HMK036,NA,1989,-71.2406,Diatom3,spp.,NA,NA,density,cellsL-1,NA,8303.28,demographic
432,HMK036,NA,1990,-35.3777,Diatom3,spp.,NA,NA,density,cellsL-1,NA,31836.1,demographic
433,HMK036,NA,1991,-42.3391,Diatom3,spp.,NA,NA,density,cellsL-1,NA,17770.5,demographic
434,HMK036,NA,1992,-32.8742,Diatom3,spp.,NA,NA,density,cellsL-1,NA,20745.9,demographic
435,HMK036,NA,1993,-40.4222,Diatom3,spp.,NA,NA,density,cellsL-1,NA,28860.7,demographic
436,HMK036,NA,1994,-56.5372,Diatom3,spp.,NA,NA,density,cellsL-1,NA,24262.3,demographic
437,HMK036,NA,1996,-48.4537,Diatom3,spp.,NA,NA,density,cellsL-1,NA,54016.4,demographic
438,HMK036,NA,1995,-53.5313,Diatom3,spp.,NA,NA,density,cellsL-1,NA,25073.8,demographic
439,HMK036,NA,1997,-25.1561,Diatom3,spp.,NA,NA,density,cellsL-1,NA,34811.5,demographic
440,HMK036,NA,1998,-55.0886,Diatom3,spp.,NA,NA,density,cellsL-1,NA,21827.9,demographic
441,HMK036,NA,1999,-42.9683,Diatom3,spp.,NA,NA,density,cellsL-1,NA,30483.6,demographic
442,HMK036,NA,2000,-46.8337,Diatom3,spp.,NA,NA,density,cellsL-1,NA,52122.9,demographic
443,HMK036,NA,2001,-51.4079,Diatom3,spp.,NA,NA,density,cellsL-1,NA,77819.7,demographic
444,HMK036,NA,2002,-35.918,Diatom3,spp.,NA,NA,density,cellsL-1,NA,53204.9,demographic
445,HMK036,NA,2003,-43.4239,Diatom3,spp.,NA,NA,density,cellsL-1,NA,63754.1,demographic
446,HMK036,NA,2004,-43.9713,Diatom3,spp.,NA,NA,density,cellsL-1,NA,72409.8,demographic
447,HMK036,NA,2005,NA,Diatom3,spp.,NA,NA,density,cellsL-1,NA,72680.3,demographic
448,HMK016,NA,1984,NA,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,26.9,survival
449,HMK016,NA,1985,NA,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,56.3,survival
450,HMK016,NA,1987,NA,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,54.5,survival
451,HMK016,NA,1992,NA,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,80,survival
452,HMK016,NA,1993,22.001,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,89.5,survival
453,HMK016,NA,1994,NA,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,87.5,survival
454,HMK016,NA,1995,31.973,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,83.7,survival
455,HMK016,NA,1996,33.318,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,77.4,survival
456,HMK016,NA,1997,61.605,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,66.7,survival
457,HMK016,NA,1998,-9.334,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,93.3,survival
458,HMK016,NA,1999,2.447,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,83.3,survival
459,HMK016,NA,2000,12.706,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,42.3,survival
460,HMK016,NA,2001,-10.691,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,93.1,survival
461,HMK016,NA,2002,-26.433,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,91.7,survival
462,HMK016,NA,2003,NA,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,71,survival
463,HMK016,NA,2004,NA,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,41,survival
464,HMK016,NA,2005,20.029,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,67,survival
465,HMK016,NA,2006,22.04,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,63,survival
466,HMK016,NA,2007,NA,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,67,survival
467,HMK016,NA,2008,NA,Cerorhinca,monocerata,NA,NA,growth; proportion of chicks fledged,per chicks hatched,NA,69,survival
468,HMK016,NA,1984,NA,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,29.8,growth
469,HMK016,NA,1985,NA,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,48.7,growth
470,HMK016,NA,1987,NA,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,30.5,growth
471,HMK016,NA,1992,NA,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,40.1,growth
472,HMK016,NA,1993,22.001,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,40.9,growth
473,HMK016,NA,1994,NA,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,59.9,growth
474,HMK016,NA,1995,31.973,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,41.6,growth
475,HMK016,NA,1996,33.318,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,32.3,growth
476,HMK016,NA,1997,61.605,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,23.1,growth
477,HMK016,NA,1998,-9.334,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,45.2,growth
478,HMK016,NA,1999,2.447,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,54.5,growth
479,HMK016,NA,2000,12.706,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,28.4,growth
480,HMK016,NA,2001,-10.691,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,48.9,growth
481,HMK016,NA,2002,-26.433,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,65.9,growth
482,HMK016,NA,2003,NA,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,56.7,growth
483,HMK016,NA,2004,NA,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,47.1,growth
484,HMK016,NA,2005,20.029,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,39.9,growth
485,HMK016,NA,2006,22.04,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,33.6,growth
486,HMK016,NA,2007,NA,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,41.1,growth
487,HMK016,NA,2008,NA,Cerorhinca,monocerata,NA,NA,chick growth rate,g 5 days,NA,34.5,growth
488,HMK016,NA,1984,NA,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,235,growth
489,HMK016,NA,1985,NA,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,292.4,growth
490,HMK016,NA,1987,NA,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,199,growth
491,HMK016,NA,1992,NA,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,381.1,growth
492,HMK016,NA,1993,22.001,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,410.9,growth
493,HMK016,NA,1994,NA,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,398.1,growth
494,HMK016,NA,1995,31.973,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,379.6,growth
